t,tf0,ts0
5.203925937500000000e+05,8.703779296875000000e+02,8.091889648437500000e+02
5.228706562500000000e+05,8.727205810546875000e+02,8.455880126953125000e+02
5.253487500000000000e+05,8.724528808593750000e+02,8.590182495117187500e+02
5.278267500000000000e+05,8.725921630859375000e+02,8.654971923828125000e+02
5.303048125000000000e+05,8.725376586914062500e+02,8.689067382812500000e+02
5.327828750000000000e+05,8.726839599609375000e+02,8.704890136718750000e+02
5.352609375000000000e+05,8.726892089843750000e+02,8.714710083007812500e+02
5.377390000000000000e+05,8.727524414062500000e+02,8.719235839843750000e+02
5.402170625000000000e+05,8.727258911132812500e+02,8.722428588867187500e+02
5.426951250000000000e+05,8.726765136718750000e+02,8.724351806640625000e+02
5.451731875000000000e+05,8.725598144531250000e+02,8.725941162109375000e+02
5.476512500000000000e+05,8.724227294921875000e+02,8.726930541992187500e+02
5.501293125000000000e+05,8.723364868164062500e+02,8.727246704101562500e+02
5.526073750000000000e+05,8.723007202148437500e+02,8.727055664062500000e+02
5.550854375000000000e+05,8.723015747070312500e+02,8.726264648437500000e+02
5.575635000000000000e+05,8.721906127929687500e+02,8.725012817382812500e+02
5.600415625000000000e+05,8.718740844726562500e+02,8.722589111328125000e+02
5.625196250000000000e+05,8.710758056640625000e+02,8.718168945312500000e+02
5.649976875000000000e+05,8.692888183593750000e+02,8.709359741210937500e+02
5.674757500000000000e+05,8.650841064453125000e+02,8.690576782226562500e+02
5.699538125000000000e+05,8.561207275390625000e+02,8.644425659179687500e+02
5.724318750000000000e+05,8.431817626953125000e+02,8.546408081054687500e+02
5.749099375000000000e+05,8.248854980468750000e+02,8.399790649414062500e+02
5.773880000000000000e+05,8.012636718750000000e+02,8.215384521484375000e+02
5.798660625000000000e+05,7.739197387695312500e+02,7.998546142578125000e+02
5.823441250000000000e+05,7.502382202148437500e+02,7.709768066406250000e+02
5.848221875000000000e+05,7.386754760742187500e+02,7.492447509765625000e+02
5.873002500000000000e+05,7.370938110351562500e+02,7.415622558593750000e+02
5.897782500000000000e+05,7.352358398437500000e+02,7.387405395507812500e+02
5.922563125000000000e+05,7.333094482421875000e+02,7.368840332031250000e+02
5.947343750000000000e+05,7.326101074218750000e+02,7.355068969726562500e+02
5.972124375000000000e+05,7.314773559570312500e+02,7.344055786132812500e+02
5.996905000000000000e+05,7.319916381835937500e+02,7.338193359375000000e+02
6.021685625000000000e+05,7.357365112304687500e+02,7.362114257812500000e+02
